variant,category,accountCurrency,initialCapitalEUR,finalCapitalEUR,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,sharpe,sortino,avgTradeEUR,exposurePct,avgLeverage,maxLeverageUsed,leveragedTrades,riskPerTradePct,maxLeverage,exitPolicy,mlCandidateSignals,mlAcceptedSignals,mlRejectedSignals,mlAcceptanceRatePct,threshold,featureSet
fixed_100pct_equity_notional,baseline,EUR,10000.0,10253.78,2.5378,65.22,2.7613,1.5327,23,0.7891,1.0136,11.03,64.55,0.953,1.0,0,,,,,,,,,
fixed_risk_0.25pct,sizing,EUR,10000.0,10080.73,0.8073,65.22,0.7088,1.7078,23,0.9835,1.3279,3.51,64.55,0.247,0.301,0,0.25,,,,,,,,
fixed_risk_0.50pct,sizing,EUR,10000.0,10179.25,1.7925,65.22,1.4794,1.7294,23,1.0036,1.3736,7.79,64.55,0.533,0.691,0,0.5,,,,,,,,
fixed_risk_0.75pct,sizing,EUR,10000.0,10281.95,2.8195,65.22,2.3633,1.7324,23,0.9992,1.3533,12.26,64.55,0.839,1.078,4,0.75,,,,,,,,
fixed_risk_1.00pct,sizing,EUR,10000.0,10357.01,3.5701,65.22,3.0624,1.6824,23,0.9686,1.3109,15.52,64.55,1.114,1.463,17,1.0,,,,,,,,
adaptive_risk_vol_target,sizing,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,,,,,,,,
adaptive_max_leverage_1.0x,leverage,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,1.0,,,,,,,
adaptive_max_leverage_1.5x,leverage,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,1.5,,,,,,,
adaptive_max_leverage_2.0x,leverage,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,2.0,,,,,,,
adaptive_max_leverage_3.0x,leverage,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,3.0,,,,,,,
exit_time,exit,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,,time,,,,,,
exit_fade,exit,EUR,10000.0,10189.79,1.8979,56.25,1.0531,1.8743,16,0.9879,1.2098,11.86,55.56,0.588,0.885,0,,,fade,,,,,,
exit_trail_1.5,exit,EUR,10000.0,10121.47,1.2147,45.45,1.4456,1.3968,22,0.535,0.7333,5.52,77.25,0.632,0.891,0,,,trail_1.5,,,,,,
exit_trail_2.0,exit,EUR,10000.0,9946.24,-0.5376,41.18,1.6523,0.8441,17,-0.2212,-0.2977,-3.16,83.6,0.632,0.907,0,,,trail_2.0,,,,,,
exit_breakeven_trail,exit,EUR,10000.0,9963.91,-0.3609,41.18,1.5173,0.8584,17,-0.1466,-0.1956,-2.12,80.95,0.631,0.905,0,,,breakeven_trail,,,,,,
exit_fade_trail,exit,EUR,10000.0,10218.26,2.1826,57.89,1.136,2.322,19,1.1765,1.5911,11.49,55.56,0.624,0.884,0,,,fade_trail,,,,,,
ml_core_0.55,ml,EUR,10000.0,9951.32,-0.4868,0.0,0.532,0.0,1,-1.5882,-0.3748,-48.68,2.65,0.7,0.7,0,,,,156.0,1.0,155.0,0.64,0.55,core
ml_core_0.60,ml,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,156.0,0.0,156.0,0.0,0.6,core
ml_core_0.65,ml,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,156.0,0.0,156.0,0.0,0.65,core
