variant,featureSet,threshold,accountCurrency,initialCapitalEUR,finalCapitalEUR,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,sharpe,sortino,avgTradeEUR,exposurePct,avgLeverage,maxLeverageUsed,leveragedTrades,mlCandidateSignals,mlAcceptedSignals,mlRejectedSignals,mlAcceptanceRatePct
strict_baseline,,,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,,,
ml_core_0.55,core,0.55,EUR,10000.0,9951.32,-0.4868,0.0,0.532,0.0,1,-1.5882,-0.3748,-48.68,2.65,0.7,0.7,0,156.0,1.0,155.0,0.64
ml_core_0.60,core,0.6,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_core_0.65,core,0.65,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_compact_0.55,compact,0.55,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_compact_0.60,compact,0.6,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_compact_0.65,compact,0.65,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_full_0.55,full,0.55,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_full_0.60,full,0.6,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
ml_full_0.65,full,0.65,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
