testYear,model,accountCurrency,initialCapitalEUR,finalCapitalEUR,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,sharpe,sortino,avgTradeEUR,exposurePct,avgLeverage,maxLeverageUsed,leveragedTrades,mlCandidateSignals,mlAcceptedSignals,mlRejectedSignals,mlAcceptanceRatePct
2020,strict,EUR,10000.0,10051.15,0.5115,42.42,2.7446,1.0781,33,0.2046,0.2441,1.55,65.27,0.493,0.807,0,,,,
2020,ml_meta_label,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,231.0,0.0,231.0,0.0
2021,strict,EUR,10000.0,10269.2,2.692,53.33,0.9823,1.6783,30,0.9974,1.1459,8.97,61.69,0.64,0.891,0,,,,
2021,ml_meta_label,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,206.0,0.0,206.0,0.0
2022,strict,EUR,10000.0,9949.46,-0.5054,50.0,2.4049,0.9027,36,-0.2488,-0.2639,-1.4,68.85,0.256,0.604,0,,,,
2022,ml_meta_label,EUR,10000.0,9983.44,-0.1656,25.0,0.3573,0.4709,4,-0.5064,-0.2444,-4.14,9.23,0.15,0.2,0,196.0,4.0,192.0,2.04
2023,strict,EUR,10000.0,10256.99,2.5699,60.0,1.0753,1.7643,35,1.1299,1.6323,7.34,71.92,0.416,0.599,0,,,,
2023,ml_meta_label,EUR,10000.0,9930.46,-0.6954,50.0,1.1754,0.3039,6,-1.039,-0.456,-11.59,12.31,0.317,0.401,0,188.0,6.0,182.0,3.19
2024,strict,EUR,10000.0,9850.36,-1.4964,44.12,3.9034,0.7684,34,-0.527,-0.6155,-4.4,69.85,0.602,0.825,0,,,,
2024,ml_meta_label,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,216.0,0.0,216.0,0.0
2025,strict,EUR,10000.0,9902.33,-0.9767,42.86,2.3114,0.794,35,-0.4534,-0.5394,-2.79,69.65,0.417,0.811,0,,,,
2025,ml_meta_label,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,197.0,0.0,197.0,0.0
2026,strict,EUR,10000.0,10224.94,2.2494,65.22,1.7783,1.7599,23,1.0272,1.3994,9.78,64.55,0.657,0.885,0,,,,
2026,ml_meta_label,EUR,10000.0,10000.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.0,0.0,156.0,0.0
