signalDate,entry,exit,side,entryPrice,exitPrice,stopLoss,finalStop,takeProfit,units,lots,notionalEUR,leverage,usesLeverage,appliedRiskPct,initialRiskEUR,profitEUR,rMultiple,mfeR,maeR,captureRatio,reason,trendScore,trendRegime,volatilityRegime,stopSource,stopDistanceATR,qualityMultiplier,protectionEvents,tpAfterStop_3d,returnToEntry_3d,tpAfterStop_5d,returnToEntry_5d,tpAfterStop_10d,returnToEntry_10d
2026-01-30 00:00:00+00:00,2026-02-02 00:00:00+00:00,2026-02-09 00:00:00+00:00,LONG,1.185095,1.182528,1.166122,1.166122,1.215451,3000.0,0.03,3000.0,0.3,False,0.639,48.94,-6.51,-0.133,0.391,0.44,,TIME,5,STRONG_TREND,NORMAL,STRUCTURE,2.241,1.15,[],False,False,False,False,False,False
2026-02-11 00:00:00+00:00,2026-02-12 00:00:00+00:00,2026-02-19 00:00:00+00:00,LONG,1.187586,1.174435,1.174485,1.174485,1.208546,4000.0,0.04,4000.0,0.4,False,0.56,44.79,-44.79,-1.0,0.113,1.014,,SL,5,STRONG_TREND,NORMAL,ATR,1.5,1.15,[],False,False,False,False,False,False
2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-03-18 00:00:00+00:00,SHORT,1.161269,1.153998,1.183751,1.183751,1.125297,2000.0,0.02,2000.0,0.201,False,0.469,38.07,12.6,0.331,0.876,0.139,0.369,TIME,3,TREND,NORMAL,STRUCTURE,2.489,0.75,[],False,False,False,False,False,False
2026-03-18 00:00:00+00:00,2026-03-19 00:00:00+00:00,2026-03-26 00:00:00+00:00,SHORT,1.146239,1.1562,1.167756,1.167756,1.111813,2000.0,0.02,2000.0,0.201,False,0.551,36.93,-17.23,-0.467,0.081,0.816,,TIME,4,STRONG_TREND,NORMAL,STRUCTURE,2.354,0.997,[],False,False,False,False,False,False
2026-04-10 00:00:00+00:00,2026-04-13 00:00:00+00:00,2026-04-20 00:00:00+00:00,LONG,1.167265,1.174072,1.149304,1.149304,1.196003,2000.0,0.02,2000.0,0.201,False,0.413,31.34,11.6,0.37,0.994,0.007,0.381,TIME,4,STRONG_TREND,HIGH,STRUCTURE,1.937,0.898,[],False,False,False,False,False,False
2026-04-20 00:00:00+00:00,2026-04-21 00:00:00+00:00,2026-04-28 00:00:00+00:00,LONG,1.178434,1.172297,1.163853,1.163853,1.201763,4000.0,0.04,4000.0,0.402,False,0.611,50.29,-20.94,-0.416,0.027,0.762,,TIME,5,STRONG_TREND,NORMAL,STRUCTURE,1.743,1.15,[],False,False,False,False,False,False
2026-05-12 00:00:00+00:00,2026-05-13 00:00:00+00:00,2026-05-15 00:00:00+00:00,LONG,1.173676,1.164192,1.164242,1.164242,1.188771,7000.0,0.07,7000.0,0.705,False,0.594,57.03,-57.03,-1.0,0.062,1.255,,SL,4,TREND,LOW,ATR,1.35,0.95,[],False,False,False,False,False,False
2026-06-04 00:00:00+00:00,2026-06-05 00:00:00+00:00,2026-06-12 00:00:00+00:00,SHORT,1.16139,1.157645,1.169406,1.169406,1.148564,8000.0,0.08,8000.0,0.81,False,0.594,55.18,25.88,0.469,1.41,0.394,0.331,TIME,4,TREND,LOW,STRUCTURE,1.407,0.95,[],False,False,False,False,False,False
2026-06-12 00:00:00+00:00,2026-06-15 00:00:00+00:00,2026-06-18 00:00:00+00:00,SHORT,1.160595,1.147478,1.168824,1.168824,1.147428,8000.0,0.08,8000.0,0.808,False,0.623,56.66,91.45,1.614,1.844,0.201,0.865,TP,4,STRONG_TREND,LOW,ATR,1.35,0.997,[],False,False,False,False,False,False
2026-06-29 00:00:00+00:00,2026-06-30 00:00:00+00:00,2026-07-07 00:00:00+00:00,SHORT,1.141841,1.144228,1.154024,1.154024,1.12235,6000.0,0.06,6000.0,0.6,False,0.719,63.6,-12.51,-0.197,0.462,0.437,,TIME,5,STRONG_TREND,NORMAL,STRUCTURE,1.791,1.15,[],False,False,False,False,False,False
2026-08-11 00:00:00+00:00,2026-08-12 00:00:00+00:00,2026-08-19 00:00:00+00:00,LONG,1.154398,1.157893,1.145107,1.145107,1.169263,5000.0,0.05,5000.0,0.501,False,0.469,40.79,15.09,0.37,1.444,0.336,0.261,TIME,3,TREND,NORMAL,STRUCTURE,1.739,0.75,[],False,False,False,False,False,False
2026-08-26 00:00:00+00:00,2026-08-27 00:00:00+00:00,2026-09-03 00:00:00+00:00,LONG,1.165578,1.158484,1.155922,1.155922,1.181029,7000.0,0.07,7000.0,0.7,False,0.623,58.78,-42.87,-0.729,0.062,0.92,,TIME,4,STRONG_TREND,NORMAL,STRUCTURE,1.804,0.997,[],False,False,False,False,False,False
