configId,reviewBars,minMFER,minConfirmations,medianReturnTrain,meanReturnTrain,positiveYearsTrain,worstYearTrain,medianDDTrain,medianSharpeTrain,medianPFTrain,robustScore,selectedFor2026Test
8,3,0.75,3,0.10455,-0.19276666666666675,4,-5.0845,3.21905,0.044899999999999995,1.0039,-0.3568783333333335,True
17,5,0.75,3,0.23224999999999996,0.8147833333333333,3,-2.8758,3.7048000000000005,0.0673,1.0002,-0.3601550000000002,False
5,3,0.5,3,0.01795,-0.020883333333333292,3,-3.9341,3.21905,0.02735,0.994,-0.4912875000000001,False
14,5,0.5,3,-0.12344999999999995,0.7580333333333332,3,-2.8758,3.7048000000000005,-0.007050000000000001,0.9515,-0.7418775000000002,False
4,3,0.5,2,-0.1805,-0.9516333333333334,2,-6.0572,3.7765500000000003,-0.012549999999999999,0.92725,-0.8568691666666668,False
7,3,0.75,2,-0.32120000000000004,-1.2622,3,-6.8426,3.7734,-0.0421,0.9149,-0.9656150000000001,False
26,8,0.75,3,-0.4827,-0.3039666666666667,2,-4.1927,4.0638000000000005,-0.08075,0.86985,-1.2403891666666669,False
13,5,0.5,2,-0.6513,-0.6885166666666667,2,-3.1424,4.08545,-0.10075,0.8146,-1.4203191666666666,False
16,5,0.75,2,-0.72325,-0.6224666666666666,2,-3.1424,4.08545,-0.11560000000000001,0.81565,-1.4974666666666667,False
35,10,0.75,3,-0.75965,-0.23479999999999998,2,-2.9987,3.89915,-0.1452,0.8682000000000001,-1.5069666666666668,False
28,10,0.25,2,-0.76025,-1.0700833333333335,2,-4.8749,3.9243,-0.15239999999999998,0.8138000000000001,-1.515116666666667,False
31,10,0.5,2,-0.76025,-1.1802333333333332,2,-4.8754,3.9243,-0.15239999999999998,0.79505,-1.515116666666667,False
27,10,0.25,1,-0.78405,-0.7712833333333333,1,-2.6069,4.43435,-0.12079999999999999,0.8260000000000001,-1.6715333333333333,False
29,10,0.25,3,-0.9229999999999999,-0.35733333333333334,2,-2.9987,3.89915,-0.1784,0.8541000000000001,-1.6819366666666666,False
32,10,0.5,3,-0.9229999999999999,-0.35733333333333334,2,-2.9987,3.89915,-0.1784,0.8541000000000001,-1.6819366666666666,False
11,5,0.25,3,-1.00125,0.2974333333333333,2,-2.3166,3.6343500000000004,-0.1983,0.82585,-1.7141916666666668,False
34,10,0.75,2,-1.0068000000000001,-1.0171999999999999,3,-4.8754,4.1644000000000005,-0.21810000000000002,0.8344,-1.7910150000000002,False
9,5,0.25,1,-0.9155500000000001,-0.8651333333333335,1,-2.2749,4.349,-0.14905,0.7960499999999999,-1.7958508333333334,False
1,3,0.25,2,-0.9028,-1.4727500000000002,2,-5.4676,4.67525,-0.14465,0.84205,-1.8051441666666668,False
15,5,0.75,1,-0.9624,-0.5075000000000001,1,-3.4082,4.4979499999999994,-0.1588,0.7923,-1.8759033333333333,False
12,5,0.5,1,-1.06495,-1.0164333333333333,1,-3.4082,4.482950000000001,-0.1782,0.8162,-1.9822433333333336,False
33,10,0.75,1,-1.1535,-1.1545166666666666,2,-3.8852,4.30225,-0.19415,0.8139,-1.9985691666666667,False
24,8,0.75,1,-1.12325,-0.8940666666666668,2,-3.5485,4.5861,-0.1887,0.8177000000000001,-2.0231816666666664,False
10,5,0.25,2,-1.232,-0.9744,2,-3.2713,4.018050000000001,-0.2074,0.7824500000000001,-2.0248666666666666,False
18,8,0.25,1,-1.13015,-0.8934666666666667,1,-1.7016,4.43435,-0.1894,0.7793,-2.0416433333333335,False
30,10,0.5,1,-1.1303999999999998,-1.0614333333333332,1,-3.8785,4.43435,-0.18945,0.8006500000000001,-2.041910833333333,False
19,8,0.25,2,-1.16405,-1.4562833333333334,2,-4.8864,4.5058,-0.1973,0.7847,-2.0509316666666666,False
21,8,0.5,1,-1.1915,-1.1338333333333335,2,-3.5933,4.5861,-0.20124999999999998,0.8107500000000001,-2.0958241666666666,False
0,3,0.25,1,-1.25575,-0.8906833333333334,1,-2.1956,4.28585,-0.21084999999999998,0.7783,-2.1450508333333334,False
25,8,0.75,2,-1.1928999999999998,-1.1085666666666667,3,-5.0091,4.982150000000001,-0.2487,0.8203,-2.151375,False
23,8,0.5,3,-1.3002,-0.5576666666666666,2,-4.1927,4.72785,-0.26335,0.8328,-2.2546091666666666,False
22,8,0.5,2,-1.3608,-1.4587833333333335,3,-5.0091,5.0042,-0.2838,0.7973,-2.3359699999999997,False
20,8,0.25,3,-1.52525,-0.6326833333333335,2,-4.1927,4.72585,-0.30755,0.8086,-2.4947291666666667,False
3,3,0.5,1,-1.7079,-0.7577999999999999,2,-2.7882,4.22975,-0.3181,0.7754000000000001,-2.5818516666666667,False
2,3,0.25,3,-1.7355,-0.7505333333333333,2,-3.9341,4.093299999999999,-0.35585,0.8284,-2.5953741666666663,False
6,3,0.75,1,-1.75435,-1.1144166666666666,2,-6.3837,4.4904,-0.3105,0.7862,-2.6777716666666667,False
