configId,stopATR,targetRR,reviewBars,minMFER,minConfirmations,softTrendSizing,medianReturnTrain,meanReturnTrain,positiveYearsTrain,worstYearTrain,medianDDTrain,medianSharpeTrain,robustScore,selectedFor2026Test
60,1.8,1.4,5,0.75,2,False,1.61025,0.7714666666666666,4,-3.2479,3.51795,0.4384,-0.5688091666666668,True
61,1.8,1.4,5,0.75,2,True,1.6787,0.58845,4,-3.7656,3.28245,0.44834999999999997,-0.7227366666666668,False
76,1.8,1.5,5,0.75,2,False,1.7824,0.4436,4,-3.8085,3.8556,0.46904999999999997,-0.7786741666666668,False
77,1.8,1.5,5,0.75,2,True,1.90895,0.30460000000000004,4,-4.3232,3.6303,0.49375,-0.8702391666666671,False
139,2.1,1.6,5,0.5,3,True,0.39754999999999996,0.45225,3,-1.9655,2.84945,0.1292,-1.1006175000000002,False
123,2.1,1.5,5,0.5,3,True,0.19200000000000006,0.3758500000000001,3,-1.9834,2.8533,0.06875,-1.3381325,False
72,1.8,1.5,5,0.5,2,False,1.2304,0.19696666666666665,4,-3.8085,3.9556000000000004,0.33649999999999997,-1.402066666666667,False
122,2.1,1.5,5,0.5,3,False,0.03739999999999999,0.4836666666666667,3,-1.7353,3.1186499999999997,0.023249999999999993,-1.4385400000000002,False
90,1.8,1.6,5,0.5,3,False,0.17679999999999996,0.4673,3,-1.9082,3.5100499999999997,0.06485000000000002,-1.477525,False
138,2.1,1.6,5,0.5,3,False,-0.10494999999999999,0.5229333333333333,3,-1.5152,3.1186499999999997,-0.027350000000000013,-1.477545,False
74,1.8,1.5,5,0.5,3,False,0.328,0.5208333333333334,3,-2.2243,3.5324,0.10790000000000001,-1.4907,False
56,1.8,1.4,5,0.5,2,False,0.90715,0.24919999999999998,3,-3.4222,3.612,0.2519,-1.5398950000000002,False
143,2.1,1.6,5,0.75,3,True,-0.03749999999999998,0.33435,3,-1.9295,3.0411,-0.0025499999999999967,-1.6098925,False
73,1.8,1.5,5,0.5,2,True,1.186,0.10443333333333332,4,-4.3232,3.5939500000000004,0.3227,-1.6439691666666671,False
104,2.1,1.4,5,0.5,2,False,0.41085,-0.004966666666666661,4,-2.8193,3.57755,0.1264,-1.656579166666667,False
142,2.1,1.6,5,0.75,3,False,0.05525000000000002,0.48255,3,-2.196,3.0913500000000003,0.025399999999999978,-1.6664975000000002,False
91,1.8,1.6,5,0.5,3,True,0.125,0.3803666666666666,3,-2.3324,3.1488,0.05295,-1.6764875000000001,False
57,1.8,1.4,5,0.5,2,True,0.9027,0.14524999999999988,4,-3.9748,3.293,0.24075,-1.6890941666666672,False
95,1.8,1.6,5,0.75,3,True,0.15055000000000007,0.24648333333333342,3,-2.3324,3.3183,0.05940000000000001,-1.691055,False
115,2.1,1.5,3,0.5,3,True,0.3484,0.0826,4,-3.2879,2.50475,0.12215,-1.7100466666666667,False
58,1.8,1.4,5,0.5,3,False,0.06355,0.5958666666666665,3,-2.2678,3.1960499999999996,0.039150000000000004,-1.71905,False
59,1.8,1.4,5,0.5,3,True,0.29895000000000005,0.45766666666666667,3,-2.9311,2.7989,0.1005,-1.727705,False
114,2.1,1.5,3,0.5,3,False,0.598,0.07603333333333324,4,-3.8382,2.50005,0.20135,-1.734216666666667,False
75,1.8,1.5,5,0.5,3,True,0.31895,0.4186333333333334,3,-2.8295,3.15405,0.11415,-1.7358349999999998,False
127,2.1,1.5,5,0.75,3,True,-0.09799999999999998,0.2694500000000001,3,-2.0606,3.0411,-0.015399999999999997,-1.746995,False
126,2.1,1.5,5,0.75,3,False,0.06855,0.3972833333333334,3,-2.434,3.0913500000000003,0.03345000000000001,-1.7812800000000002,False
87,1.8,1.6,3,0.75,3,True,0.83985,0.3740833333333334,4,-4.3317,2.6209,0.23065000000000002,-1.7837491666666667,False
83,1.8,1.6,3,0.5,3,True,0.49670000000000003,0.3934666666666667,4,-3.6365,2.6719,0.14579999999999999,-1.786986666666667,False
79,1.8,1.5,5,0.75,3,True,0.31405,0.33856666666666674,3,-2.8295,3.34565,0.11215000000000001,-1.789335,False
78,1.8,1.5,5,0.75,3,False,0.28845,0.4774833333333333,3,-2.7029,3.513,0.0971,-1.79241,False
105,2.1,1.4,5,0.5,2,True,0.0068000000000000005,-0.18598333333333336,3,-2.3561,3.25345,0.02265,-1.8444900000000002,False
80,1.8,1.6,3,0.5,2,False,0.5326,-0.2097333333333334,4,-3.4971,3.4346,0.1575,-1.860996666666667,False
82,1.8,1.6,3,0.5,3,False,0.8148500000000001,0.38149999999999995,4,-4.3391,2.84125,0.22899999999999998,-1.8684841666666667,False
112,2.1,1.5,3,0.5,2,False,0.26489999999999997,-0.41619999999999996,4,-3.1104,3.1591,0.0911,-1.8703766666666668,False
94,1.8,1.6,5,0.75,3,False,0.13729999999999998,0.3359000000000001,3,-2.6176,3.49065,0.05470000000000001,-1.9058975,False
106,2.1,1.4,5,0.5,3,False,-0.06995000000000001,0.2974833333333334,3,-2.3533,3.1628499999999997,-0.006150000000000003,-1.90713,False
84,1.8,1.6,3,0.75,2,False,0.6592,-0.11396666666666662,4,-3.8844,3.426,0.1884,-1.9344466666666669,False
46,1.5,1.6,5,0.75,3,False,0.2173,1.0054166666666666,4,-2.6982,4.10375,0.06920000000000001,-1.9350941666666668,False
62,1.8,1.4,5,0.75,3,False,0.024050000000000016,0.5044666666666665,3,-2.4323,3.526,0.02844999999999999,-1.9352575,False
107,2.1,1.4,5,0.5,3,True,-0.2639,0.17408333333333326,3,-2.1572,2.86785,-0.06115000000000001,-1.938725,False
118,2.1,1.5,3,0.75,3,False,0.49345,0.03514999999999994,4,-3.9806,2.5675499999999998,0.1683,-1.9455291666666665,False
86,1.8,1.6,3,0.75,3,False,1.0844,0.36723333333333336,4,-5.0252,2.84015,0.2969,-1.9522491666666668,False
119,2.1,1.5,3,0.75,3,True,0.22685,0.03318333333333334,3,-3.3813,2.55145,0.0838,-1.9913975000000002,False
47,1.5,1.6,5,0.75,3,True,0.50475,0.9566333333333333,4,-3.6132,3.7048000000000005,0.135,-2.028126666666667,False
111,2.1,1.4,5,0.75,3,True,-0.15315,0.12909999999999996,3,-2.4481,3.09255,-0.028850000000000015,-2.03284,False
81,1.8,1.6,3,0.5,2,True,0.13735,-0.3604333333333334,3,-3.0366,3.10935,0.0579,-2.0398525000000003,False
108,2.1,1.4,5,0.75,2,False,0.196,-0.07860000000000004,3,-3.0528,3.41775,0.0698,-2.0630475,False
109,2.1,1.4,5,0.75,2,True,-0.13795,-0.21863333333333332,3,-2.5171,3.2173,-0.0121,-2.080915,False
85,1.8,1.6,3,0.75,2,True,0.2816,-0.2451333333333334,3,-3.4275,3.1031500000000003,0.0924,-2.0969725,False
63,1.8,1.4,5,0.75,3,True,0.12530000000000008,0.35869999999999996,3,-3.1286,3.2127,0.06190000000000001,-2.1269400000000003,False
113,2.1,1.5,3,0.5,2,True,-0.10625,-0.4310333333333334,2,-2.7722,2.90015,-0.013550000000000001,-2.1940733333333338,False
103,2.1,1.4,3,0.75,3,True,0.08595000000000003,-0.01585000000000007,3,-3.4702,2.55,0.03860000000000001,-2.19665,False
24,1.5,1.5,5,0.5,2,False,1.13565,-0.12258333333333327,4,-4.7968,4.4746500000000005,0.2395,-2.2040941666666667,False
110,2.1,1.4,5,0.75,3,False,-0.03875000000000001,0.2554166666666666,3,-2.9809,3.13555,0.0037500000000000033,-2.21082,False
28,1.5,1.5,5,0.75,2,False,1.02325,0.3234999999999999,3,-4.5179,4.4746500000000005,0.2163,-2.254552500000001,False
44,1.5,1.6,5,0.75,2,False,0.9074499999999999,0.24144999999999994,3,-4.4171,4.45625,0.1865,-2.3207425,False
66,1.8,1.5,3,0.5,3,False,0.43855,0.14370000000000008,4,-4.4277,2.84065,0.1312,-2.3275941666666666,False
102,2.1,1.4,3,0.75,3,False,0.27425,-0.05033333333333334,3,-4.0629,2.6465,0.0986,-2.33746,False
88,1.8,1.6,5,0.5,2,False,0.06709999999999999,-0.3293333333333333,3,-3.0706,3.9494499999999997,0.03955,-2.34525,False
99,2.1,1.4,3,0.5,3,True,-0.08074999999999999,-0.018783333333333374,3,-3.3768,2.6159499999999998,-0.00995,-2.34546,False
42,1.5,1.6,5,0.5,3,False,-0.06104999999999999,0.9348333333333333,3,-2.7484,4.10375,0.006900000000000003,-2.3461925,False
98,2.1,1.4,3,0.5,3,False,0.16515000000000002,-0.034066666666666766,3,-3.9205,2.52575,0.0667,-2.3492175000000004,False
71,1.8,1.5,3,0.75,3,True,0.3643,0.11400000000000017,4,-4.4274,2.62385,0.11124999999999999,-2.354461666666667,False
121,2.1,1.5,5,0.5,2,True,-0.6043499999999999,-0.38749999999999996,3,-2.0789,3.2512499999999998,-0.13735,-2.35863,False
70,1.8,1.5,3,0.75,3,False,0.74795,0.1319666666666667,4,-5.1138,2.83985,0.20915,-2.3680666666666674,False
92,1.8,1.6,5,0.75,2,False,0.06709999999999999,-0.15514999999999998,3,-3.173,3.84605,0.03955,-2.3757200000000003,False
131,2.1,1.6,3,0.5,3,True,-0.23654999999999998,-0.008333333333333378,3,-3.1995,2.5408999999999997,-0.06615000000000001,-2.4046525,False
141,2.1,1.6,5,0.75,2,True,-0.48160000000000003,-0.33779999999999993,3,-2.4371,3.20115,-0.1089,-2.4104075000000003,False
125,2.1,1.5,5,0.75,2,True,-0.5247,-0.3494833333333334,3,-2.3847,3.1502999999999997,-0.13470000000000004,-2.421005,False
67,1.8,1.5,3,0.5,3,True,0.039699999999999985,0.11966666666666659,3,-3.7322,2.67795,0.03125,-2.4215600000000004,False
43,1.5,1.6,5,0.5,3,True,0.149,0.7713,4,-3.6815,3.7048000000000005,0.055349999999999996,-2.449319166666667,False
29,1.5,1.5,5,0.75,2,True,0.95895,0.04044999999999989,4,-5.1251,4.0595,0.20295000000000002,-2.4703641666666667,False
120,2.1,1.5,5,0.5,2,False,-0.2862,-0.27345,3,-2.7808,3.5768,-0.06079999999999999,-2.48112,False
130,2.1,1.6,3,0.5,3,False,-0.003450000000000064,0.02959999999999992,3,-3.7563,2.7009,0.01630000000000001,-2.4889350000000006,False
96,2.1,1.4,3,0.5,2,False,-0.1212,-0.5139499999999999,2,-3.3465,3.1171,-0.0196,-2.5812433333333336,False
135,2.1,1.6,3,0.75,3,True,-0.35664999999999997,-0.03681666666666664,3,-3.2929,2.54655,-0.10275,-2.590345,False
8,1.5,1.4,5,0.5,2,False,1.4493,-0.14605000000000004,4,-5.9774,4.8064,0.3007,-2.6012916666666674,False
53,1.8,1.4,3,0.75,2,True,-0.35519999999999996,-0.43706666666666666,3,-3.2376,2.9092000000000002,-0.0743,-2.6391850000000003,False
54,1.8,1.4,3,0.75,3,False,0.3641,-0.14651666666666655,4,-4.9241,2.6799999999999997,0.1121,-2.641586666666667,False
52,1.8,1.4,3,0.75,2,False,-0.04464999999999997,-0.2784,3,-3.7671,3.1353,0.019750000000000004,-2.6434675,False
116,2.1,1.5,3,0.75,2,False,0.14835,-0.46164999999999995,3,-4.2149,2.9810499999999998,0.061149999999999996,-2.643705,False
45,1.5,1.6,5,0.75,2,True,0.84805,0.05519999999999984,3,-5.054,4.1168,0.1701,-2.6513150000000003,False
140,2.1,1.6,5,0.75,2,False,-0.50795,-0.2506,3,-2.7795,3.3389499999999996,-0.12444999999999999,-2.6649700000000003,False
25,1.5,1.5,5,0.5,2,True,0.94665,-0.5192333333333333,4,-5.4841,4.0595,0.21155,-2.6771041666666666,False
50,1.8,1.4,3,0.5,3,False,0.0547,-0.21078333333333332,3,-4.2381,2.6799,0.0336,-2.68447,False
117,2.1,1.5,3,0.75,2,True,-0.26275,-0.43248333333333333,3,-3.5129,2.8958,-0.056600000000000004,-2.6886050000000004,False
134,2.1,1.6,3,0.75,3,False,-0.12719999999999998,-0.03200000000000003,3,-3.8987,2.6999,-0.022499999999999992,-2.704335,False
40,1.5,1.6,5,0.5,2,False,0.6626,-0.057066666666666634,3,-4.6961,4.45625,0.15625,-2.7296300000000002,False
55,1.8,1.4,3,0.75,3,True,-0.07655,-0.19871666666666665,3,-4.1539,2.5156,0.00020000000000000052,-2.740025,False
97,2.1,1.4,3,0.5,2,True,-0.47865,-0.5700999999999999,2,-3.0155,2.93565,-0.11845,-2.7458783333333336,False
124,2.1,1.5,5,0.75,2,False,-0.45635000000000003,-0.2590833333333334,3,-3.0143,3.39845,-0.11220000000000002,-2.7530975,False
133,2.1,1.6,3,0.75,2,True,-0.41355,-0.3649833333333334,3,-3.333,2.89805,-0.10909999999999999,-2.7593975000000004,False
30,1.5,1.5,5,0.75,3,False,-0.4071,0.8782000000000002,3,-2.799,4.36065,-0.059649999999999995,-2.80759,False
19,1.5,1.5,3,0.5,3,True,-0.49550000000000005,0.35545,3,-3.1395,3.22235,-0.08605000000000002,-2.8079300000000003,False
51,1.8,1.4,3,0.5,3,True,-0.41765,-0.2845666666666667,2,-3.4588,2.54655,-0.08475,-2.8196233333333334,False
49,1.8,1.4,3,0.5,2,True,-0.7307,-0.5846333333333333,3,-2.8467,2.9554,-0.1669,-2.8436500000000002,False
48,1.8,1.4,3,0.5,2,False,-0.41065000000000007,-0.4121333333333333,3,-3.3798,3.2584,-0.07980000000000001,-2.86207,False
21,1.5,1.5,3,0.75,2,True,0.39660000000000006,-0.005450000000000029,3,-4.7095,3.9644000000000004,0.07939999999999997,-2.9069350000000003,False
132,2.1,1.6,3,0.75,2,False,-0.17609999999999998,-0.4019833333333333,3,-4.0568,2.97585,-0.03405,-2.91322,False
128,2.1,1.6,3,0.5,2,False,-0.07195000000000001,-0.5731166666666666,3,-4.2269,3.1538500000000003,-0.0010500000000000023,-2.935575,False
93,1.8,1.6,5,0.75,2,True,-0.4948,-0.3125666666666667,2,-3.0773,3.57485,-0.09430000000000001,-2.9473658333333335,False
35,1.5,1.6,3,0.5,3,True,-0.28745,-0.06281666666666659,3,-3.8021,3.2211,-0.04744999999999999,-2.9504875,False
64,1.8,1.5,3,0.5,2,False,-0.26555,-0.3958000000000001,3,-3.7554,3.4783,-0.04285,-2.9655924999999996,False
89,1.8,1.6,5,0.5,2,True,-0.4948,-0.4820666666666667,2,-3.0773,3.656,-0.09430000000000001,-2.9676533333333337,False
101,2.1,1.4,3,0.75,2,True,-0.4424,-0.5910166666666666,3,-3.6936,2.9035,-0.1105,-2.98843,False
9,1.5,1.4,5,0.5,2,True,1.42525,-0.4852833333333333,4,-6.7271,4.632099999999999,0.29585,-2.995799166666667,False
41,1.5,1.6,5,0.5,2,True,0.6915,-0.3388,3,-5.4131,4.1168,0.15339999999999998,-3.011215,False
100,2.1,1.4,3,0.75,2,False,-0.11465,-0.6116166666666667,3,-4.3737,2.98745,-0.01750000000000001,-3.0231725000000003,False
68,1.8,1.5,3,0.75,2,False,-0.13900000000000007,-0.3007666666666668,3,-4.1426,3.4314,-0.011450000000000002,-3.0292875,False
18,1.5,1.5,3,0.5,3,False,-0.20020000000000002,0.5212666666666667,3,-4.1093,3.30015,-0.021399999999999995,-3.0428425000000003,False
31,1.5,1.5,5,0.75,3,True,-0.3324,0.71,3,-3.6842,3.9830500000000004,-0.036500000000000005,-3.1172475000000004,False
65,1.8,1.5,3,0.5,2,True,-0.7353,-0.5033499999999999,3,-3.3034,3.15965,-0.157,-3.1470325,False
69,1.8,1.5,3,0.75,2,True,-0.57255,-0.39453333333333324,3,-3.6759,3.107,-0.11839999999999998,-3.162485,False
129,2.1,1.6,3,0.5,2,True,-0.47655,-0.61615,3,-3.9897,2.89525,-0.10870000000000002,-3.1827425000000003,False
16,1.5,1.5,3,0.5,2,False,0.13590000000000013,0.04218333333333346,3,-4.6347,4.229,0.042300000000000004,-3.2056299999999998,False
26,1.5,1.5,5,0.5,3,False,-0.6855,0.7741500000000001,2,-2.8492,4.36065,-0.12035,-3.2181783333333334,False
17,1.5,1.5,3,0.5,2,True,-0.31510000000000005,-0.18471666666666672,3,-3.856,4.0913,-0.05724999999999997,-3.2287625,False
34,1.5,1.6,3,0.5,3,False,-0.04555000000000001,0.04283333333333328,3,-4.7884,3.29875,0.013150000000000002,-3.2492550000000007,False
137,2.1,1.6,5,0.5,2,True,-1.24765,-0.6338166666666667,2,-2.2764,3.28155,-0.3527,-3.276835833333334,False
136,2.1,1.6,5,0.5,2,False,-1.066,-0.4912333333333334,2,-2.5459,3.5724,-0.2819,-3.2913433333333333,False
23,1.5,1.5,3,0.75,3,True,-0.4142,0.20573333333333346,3,-4.2606,3.22235,-0.0766,-3.3399275000000004,False
14,1.5,1.4,5,0.75,3,False,-0.6386499999999999,0.63495,2,-3.2935,4.36255,-0.1081,-3.411880833333333,False
