configId,max_concurrent_positions,min_bars_between_entries,max_portfolio_risk_pct,max_gross_exposure_multiple,same_direction_only,medianReturnTrain,meanReturnTrain,positiveYearsTrain,worstYearTrain,medianDDTrain,medianSharpeTrain,medianPFTrain,robustScore,selectedFor2026Test
47,3,3,0.04,4.0,True,3.729,3.310733333333333,4,-6.0229,9.64015,0.33235000000000003,1.15175,2.0839591666666664,True
45,3,3,0.03,4.0,True,2.84065,2.3628833333333334,5,-4.6512,9.17585,0.3094,1.0484499999999999,1.3221033333333334,False
53,3,5,0.04,4.0,True,2.2196000000000002,1.3160166666666668,4,-6.1599,9.3516,0.24125000000000002,0.99785,0.6003841666666668,False
50,3,5,0.03,2.5,True,1.4169,1.2634333333333334,4,-3.913,7.2812,0.19680000000000003,0.95305,0.19620666666666656,False
25,2,3,0.02,4.0,True,1.4358,0.3449500000000001,4,-6.6398,7.4832,0.21384999999999998,1.0034,0.18067416666666639,False
43,3,3,0.02,4.0,True,1.4358,0.3449500000000001,4,-6.6398,7.4832,0.21384999999999998,1.0034,0.18067416666666639,False
24,2,3,0.02,2.5,True,1.42495,0.34133333333333327,4,-6.6398,7.48395,0.21425,1.0025499999999998,0.16981416666666652,False
42,3,3,0.02,2.5,True,1.42495,0.34133333333333327,4,-6.6398,7.48395,0.21425,1.0025499999999998,0.16981416666666652,False
30,2,5,0.02,2.5,True,1.0661,1.0949666666666664,4,-2.5874,6.66695,0.16745,1.08185,-0.04201583333333345,False
31,2,5,0.02,4.0,True,1.0661,1.0949666666666664,4,-2.5874,6.66695,0.16745,1.08185,-0.04201583333333345,False
48,3,5,0.02,2.5,True,1.0661,1.0949666666666664,4,-2.5874,6.66695,0.16745,1.08185,-0.04201583333333345,False
49,3,5,0.02,4.0,True,1.0661,1.0949666666666664,4,-2.5874,6.66695,0.16745,1.08185,-0.04201583333333345,False
44,3,3,0.03,2.5,True,1.4373,1.6622500000000002,5,-4.6512,9.056049999999999,0.18745,1.0365,-0.09996916666666658,False
