variant,scope,accountCurrency,initialCapitalEUR,finalCapitalEUR,finalEquityEUR,realizedReturnPct,totalReturn,winRate,maxDrawdown,profitFactor,totalTrades,openTrades,sharpe,sortino,avgTradeEUR,expectancyR,exposurePct,avgTradeLeverage,maxTradeLeverageUsed,avgAccountExposureX,stoppedTrades,takeProfitTrades,timeExitTrades,rejectedStrongOpposingTrend,rejectedSize
v4_thesis_rr1.8,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_barrier_only_rr1.8,2020-2026,EUR,1000.0,859.77,862.03,-14.0232,-13.7971,33.33,15.1403,0.6715,75,1,-0.5867,-0.8372,-1.87,-0.257,96.06,5.71,13.0,0.597,45,25,0,0,0
v4_no_hard_trend_reject,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_rr1.0,2020-2026,EUR,1000.0,829.96,829.96,-17.0043,-17.0043,42.21,18.5092,0.669,154,0,-0.7683,-0.9147,-1.1,-0.127,80.24,5.95,13.0,0.624,42,54,0,0,0
v4_rr1.2,2020-2026,EUR,1000.0,883.0,883.0,-11.6998,-11.6998,38.24,14.3244,0.7406,136,0,-0.5242,-0.636,-0.86,-0.103,80.75,5.82,13.0,0.605,36,42,0,0,0
v4_rr1.5,2020-2026,EUR,1000.0,872.07,874.37,-12.7926,-12.5633,33.61,13.6875,0.6954,122,1,-0.5708,-0.69,-1.05,-0.125,80.01,5.9,13.0,0.609,31,29,0,0,0
v4_rr2.0,2020-2026,EUR,1000.0,865.41,867.69,-13.459,-13.2315,30.39,14.7846,0.6077,102,1,-0.621,-0.7653,-1.32,-0.171,81.32,5.68,12.0,0.572,28,14,0,0,0
v4_atr_tighter,2020-2026,EUR,1000.0,878.59,881.25,-12.1405,-11.8748,33.04,13.8183,0.6862,112,1,-0.5133,-0.6373,-1.08,-0.123,82.01,6.19,15.0,0.633,26,20,0,0,0
v4_atr_wider,2020-2026,EUR,1000.0,883.98,886.13,-11.6017,-11.3868,33.33,12.7771,0.6251,99,1,-0.5559,-0.6856,-1.17,-0.139,82.47,5.18,10.0,0.516,20,15,0,0,0
v4_lev_cap_1x,2020-2026,EUR,1000.0,992.85,993.42,-0.7149,-0.6584,38.53,3.1776,0.9539,109,1,-0.0514,-0.07,-0.07,-0.007,82.52,1.0,1.0,0.247,24,19,0,0,0
v4_lev_cap_5x,2020-2026,EUR,1000.0,899.06,901.13,-10.0936,-9.8874,33.94,11.5289,0.7222,109,1,-0.4152,-0.54,-0.93,-0.108,82.52,4.32,5.0,0.608,24,19,0,0,0
v4_lev_cap_10x,2020-2026,EUR,1000.0,898.12,900.67,-10.1878,-9.9327,33.03,11.5155,0.713,109,1,-0.4336,-0.5672,-0.93,-0.113,82.52,5.61,10.0,0.592,24,19,0,0,0
v4_lev_cap_20x,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_lev_cap_30x,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_financing_0pct,2020-2026,EUR,1000.0,981.36,984.68,-1.8639,-1.5321,38.53,6.6873,0.9426,109,1,-0.0507,-0.0671,-0.17,-0.007,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_financing_4pct,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_financing_8pct,2020-2026,EUR,1000.0,824.23,825.78,-17.5769,-17.4222,28.44,18.0425,0.5456,109,1,-0.8129,-1.0578,-1.61,-0.219,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_risk_0.50pct,2020-2026,EUR,1000.0,936.07,937.8,-6.3926,-6.2204,33.03,7.2799,0.7177,109,1,-0.4252,-0.547,-0.59,-0.098,82.52,3.68,9.0,0.374,24,19,0,0,0
v4_risk_0.75pct,2020-2026,EUR,1000.0,899.43,901.79,-10.057,-9.8205,33.03,11.2996,0.7138,109,1,-0.4326,-0.5676,-0.92,-0.113,82.52,5.75,13.0,0.584,24,19,0,0,0
v4_risk_1.00pct,2020-2026,EUR,1000.0,862.63,865.58,-13.7366,-13.4417,33.03,15.1963,0.7033,109,1,-0.4432,-0.5799,-1.26,-0.12,82.52,7.71,17.0,0.782,24,19,0,0,0
v4_ml_advisory,2020-2026,EUR,1000.0,904.74,907.3,-9.5256,-9.2699,33.03,11.0198,0.7136,109,1,-0.4257,-0.5516,-0.87,-0.111,82.52,5.5,12.0,0.558,24,19,0,0,0
