variant,years,positiveYearsPct,medianAnnualReturnPct,meanAnnualReturnPct,worstAnnualReturnPct,bestAnnualReturnPct,medianSharpe,medianProfitFactor,maxObservedDrawdownPct,medianClosedTrades,meanExposurePct,meanTradeLeverage,maxTradeLeverageUsed
v4_thesis_rr1.8,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_barrier_only_rr1.8,7,0.0,-1.3317,-2.3059,-7.1034,-0.4855,-0.3617,0.8066,8.0168,10.0,92.56,5.94,13.0
v4_no_hard_trend_reject,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_rr1.0,7,0.0,-2.405,-2.6815,-4.4245,-1.2358,-0.8027,0.6576,5.6499,20.0,79.46,6.1,13.0
v4_rr1.2,7,28.57,-1.3798,-1.67,-4.5711,1.5761,-0.4733,0.7363,5.2239,18.0,79.75,6.02,13.0
v4_rr1.5,7,0.0,-1.3577,-1.9655,-4.2777,-0.5055,-0.3262,0.6683,5.3021,19.0,79.19,6.09,13.0
v4_rr2.0,7,0.0,-1.6123,-2.0316,-3.5692,-0.3316,-0.4688,0.6388,4.5212,15.0,80.6,5.88,12.0
v4_atr_tighter,7,0.0,-1.2271,-1.7526,-4.3339,-0.1195,-0.3967,0.6696,5.5964,17.0,80.81,6.35,15.0
v4_atr_wider,7,14.29,-1.9274,-1.6925,-2.9888,0.1087,-0.5857,0.5668,4.4603,15.0,81.24,5.4,10.0
v4_lev_cap_1x,7,57.14,0.3087,-0.0803,-2.3231,0.5712,0.3147,1.1496,2.9992,17.0,81.3,1.0,1.0
v4_lev_cap_5x,7,14.29,-1.3371,-1.4335,-4.0234,0.502,-0.3224,0.7358,4.7214,17.0,81.3,4.41,5.0
v4_lev_cap_10x,7,14.29,-1.2973,-1.4352,-3.8084,0.2418,-0.3333,0.7313,4.7968,17.0,81.3,5.76,10.0
v4_lev_cap_20x,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_lev_cap_30x,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_financing_0pct,7,71.43,0.2338,-0.1921,-3.2298,1.3293,0.0895,0.9806,3.6673,17.0,81.3,5.88,13.0
v4_financing_4pct,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_financing_8pct,7,0.0,-2.6303,-2.6303,-4.3838,-0.8351,-0.7009,0.5884,5.8051,17.0,81.3,5.88,13.0
v4_risk_0.50pct,7,14.29,-0.8523,-0.8885,-2.046,0.276,-0.432,0.7032,2.9768,17.0,81.3,3.78,9.0
v4_risk_0.75pct,7,14.29,-1.17,-1.4184,-3.8084,0.2418,-0.3353,0.7313,4.6383,17.0,81.3,5.88,13.0
v4_risk_1.00pct,7,14.29,-1.7433,-1.9817,-5.0888,0.4123,-0.3932,0.7227,6.0681,17.0,81.3,7.88,17.0
v4_ml_advisory,7,14.29,-1.17,-1.3344,-3.3075,0.2418,-0.3592,0.7263,4.6383,17.0,81.3,5.6,12.0
